ความสูงของเปลือกไข่ (mm),ความกว้างของเปลือกไข่ (mm),น้ำหนัก (g),สีของเปลือกไข่,สีไข่แดง,ประเภทของไข่
16.3,13.8,60,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.7,13.5,57,ขาว,สีส้มเข้ม,ไข่เป็ด
16.4,14,62,ขาว,สีส้มเข้ม,ไข่เป็ด
15.5,14.1,64,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.4,14.1,63,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.1,13.5,58,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,14.3,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.4,8.5,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.2,13.9,63,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,13.1,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
8.9,8,1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.3,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.3,13.9,63,ขาว,สีส้มเข้ม,ไข่เป็ด
16.2,13.9,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.1,13.8,64,ขาว,สีส้มเข้ม,ไข่เป็ด
9,8.1,1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.3,13.9,65,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16,13.7,61,ขาว,สีส้มเข้ม,ไข่เป็ด
16.2,14.7,62,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.1,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.6,14.1,65,ขาว,สีส้มเข้ม,ไข่เป็ด
9.3,8.2,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.6,14.1,65,ขาว,สีส้มเข้ม,ไข่เป็ด
16.3,14.1,63,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.6,13.8,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9,8.2,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.5,8.6,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.6,13.5,57,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,13.5,58,ขาว,สีส้มเข้ม,ไข่เป็ด
15.9,14.4,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.9,13.6,59,ขาว,สีส้มเข้ม,ไข่เป็ด
9.2,8.3,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.6,14.2,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
8.5,7.5,0.9,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.1,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.8,13.4,55,ขาว,สีส้มเข้ม,ไข่เป็ด
16.3,14.1,62,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.3,14.1,63,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.2,8.3,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.5,14.2,64,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.4,13.6,61,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.2,13.8,60,ขาว,สีส้มเข้ม,ไข่เป็ด
16,13.7,62,ขาว,สีส้มเข้ม,ไข่เป็ด
8.9,8.1,1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
10,8.8,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.6,13.5,57,ขาว,สีส้มเข้ม,ไข่เป็ด
15.8,13.4,56,ขาว,สีส้มเข้ม,ไข่เป็ด
16.2,14.1,63,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
8.9,7.9,1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
17,14.8,65,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.7,13.5,57,ขาว,สีส้มเข้ม,ไข่เป็ด
16.3,13.9,63,ขาว,สีส้มเข้ม,ไข่เป็ด
15.9,13.6,60,ขาว,สีส้มเข้ม,ไข่เป็ด
16.7,13.6,63,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.3,8.4,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.4,14.1,62,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
8.8,8,1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
8.5,7.5,0.9,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.2,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.9,14.2,56.7,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.1,14.4,59.5,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16,14.3,63.4,ขาว,สีส้มเข้ม,ไข่เป็ด
10,8.8,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.2,14,55.6,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.8,8.9,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.9,8.5,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.9,9,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16.1,14.4,62.4,ขาว,สีส้มเข้ม,ไข่เป็ด
10,8.3,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.5,8.9,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.7,13.8,57.8,ขาว,สีส้มเข้ม,ไข่เป็ด
16.3,13.5,63.4,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,14.1,63.5,ขาว,สีส้มเข้ม,ไข่เป็ด
16,14.4,60.4,ขาว,สีส้มเข้ม,ไข่เป็ด
15.9,13.6,60,ขาว,สีส้มเข้ม,ไข่เป็ด
16,14.1,59,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,13.9,59.1,ขาว,สีส้มเข้ม,ไข่เป็ด
9.1,8.2,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.4,8.2,1.4,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.8,14.3,62,ขาว,สีส้มเข้ม,ไข่เป็ด
16.2,14.3,59.5,ขาว,สีส้มเข้ม,ไข่เป็ด
15.6,14.2,59.5,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.9,8.4,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.9,14.4,63.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.1,14.3,63.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.7,8.3,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
9.8,8.5,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16,13.7,60,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15,13.9,63.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
10,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.6,13.6,61.4,ขาว,สีส้มเข้ม,ไข่เป็ด
15.8,13.9,59,ขาว,สีส้มเข้ม,ไข่เป็ด
9.4,8.8,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15,13.9,63.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
10,8,1.1,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.6,13.6,61.4,ขาว,สีส้มเข้ม,ไข่เป็ด
15.8,13.9,59,ขาว,สีส้มเข้ม,ไข่เป็ด
9.4,8.8,1.2,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
16,13.5,57.9,ขาว,สีส้มเข้ม,ไข่เป็ด
15,13.6,60.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.9,14.1,59.3,ขาว,สีส้มเข้ม,ไข่เป็ด
16,14.2,60.6,ขาว,สีส้มเข้ม,ไข่เป็ด
16,13.6,57.9,ขาว,สีส้มเข้ม,ไข่เป็ด
9.1,8.9,1.4,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.4,13.8,57.4,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.8,14,58.8,ขาว,สีส้มเข้ม,ไข่เป็ด
16.1,14.5,62.4,ขาว,สีส้มเข้ม,ไข่เป็ด
15.6,14.2,56.6,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.1,14.2,62.3,ขาว,สีส้มเข้ม,ไข่เป็ด
16,14.5,63.5,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
9.6,8.6,1.3,ครีมลายจุดดำ,สีเหลือง,ไข่นกกระทา
15.2,14.1,59.6,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.9,14,62.3,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.8,14.3,61.7,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.2,14.3,61.9,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
15.9,13.8,55.9,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16.1,13.7,60.9,น้ำตาลอ่อน,สีส้ม,ไข่ไก่
16,14.2,57.3,ขาว,สีส้มเข้ม,ไข่เป็ด